"年別及性別","Year & Sex","總計 Grand Total","性別比率 Rate of Sex(%)","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","新北市各機關 New Taipei City Agency","台北市各機關 Taipei City Agency","臺中市各機關 Taichung City Agency","臺南市各機關 Tainan City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency","行政機關 Administrative Agency","公營事業機構 Public Enterprise Organization","衛生醫療機構 Hygiene & Medical Service Organization","公立學校(職員) Public School(Staff)"
"民國91年","2002","389957","100.00","237765","61532","14833","31289","12548","11225","19425","1340","218958","116798","27224","26977"
"男性","Male","255502","65.52","157925","40772","9760","17643","8172","7645","12527","1058","153175","87589","7140","7598"
"女性","Female","134455","34.48","79840","20760","5073","13646","4376","3580","6898","282","65783","29209","20084","19379"
"民國92年","2003","376128","100.00","223444","62068","15231","30541","12937","11223","19339","1345","218775","104245","26146","26962"
"男性","Male","242001","64.34","144119","40871","10171","17225","8436","7632","12499","1048","151843","76030","6741","7387"
"女性","Female","134127","35.66","79325","21197","5060","13316","4501","3591","6840","297","66932","28215","19405","19575"
"民國93年","2004","368899","100.00","217504","61974","14709","30254","12783","11005","19326","1344","217418","100189","25360","25932"
"男性","Male","235388","63.81","139049","40495","9583","17028","8291","7493","12413","1036","149340","72760","6382","6906"
"女性","Female","133511","36.19","78455","21479","5126","13226","4492","3512","6913","308","68078","27429","18978","19026"
"民國94年","2005","337261","100.00","188170","61685","14731","28486","12730","10924","19221","1314","215783","74519","23250","23709"
"男性","Male","213796","63.39","118904","40166","9582","16152","8235","7415","12300","1042","147206","54855","5739","5996"
"女性","Female","123465","36.61","69266","21519","5149","12334","4495","3509","6921","272","68577","19664","17511","17713"
"民國95年","2006","335274","100.00","185286","61812","15269","28208","13253","10874","19224","1348","216422","72922","21961","23969"
"男性","Male","211374","63.05","115965","40006","10141","16019","8630","7305","12256","1052","147070","53037","5286","5981"
"女性","Female","123900","36.95","69321","21806","5128","12189","4623","3569","6968","296","69352","19885","16675","17988"
"民國96年","2007","336842","100.00","185960","61963","15562","28051","13736","10893","19315","1362","218793","72271","21449","24329"
"男性","Male","211350","62.74","115592","39911","10358","15977","8997","7244","12217","1054","147787","52453","5143","5967"
"女性","Female","125492","37.26","70368","22052","5204","12074","4739","3649","7098","308","71006","19818","16306","18362"
"民國97年","2008","338305","100.00","186820","62032","16068","28104","13820","10896","19168","1397","219615","72997","20991","24702"
"男性","Male","210720","62.29","115404","39569","10542","15951","9024","7189","11984","1057","146847","52763","5075","6035"
"女性","Female","127585","37.71","71416","22463","5526","12153","4796","3707","7184","340","72768","20234","15916","18667"
"民國98年","2009","339875","100.00","186874","62423","17004","27993","13939","11047","19186","1409","222336","71785","20675","25079"
"男性","Male","209758","61.72","114324","39412","10893","15830","9100","7209","11927","1063","147028","51603","5017","6110"
"女性","Female","130117","38.28","72550","23011","6111","12163","4839","3838","7259","346","75308","20182","15658","18969"
"民國99年","2010","340106","100.00","186381","62448","17772","27956","13849","11044","19246","1410","225351","69277","20123","25355"
"男性","Male","208260","61.23","113207","38960","11307","15861","8922","7109","11838","1056","146520","50583","4927","6230"
"女性","Female","131846","38.77","73174","23488","6465","12095","4927","3935","7408","354","78831","18694","15196","19125"
"民國100年","2011","343323","100.00","187114","63367","18288","27940","14741","11389","19073","1411","227071","71035","19723","25494"
"男性","Male","208888","60.84","112934","39195","11563","15856","9380","7257","11651","1052","146369","51420","4843","6256"
"女性","Female","134435","39.16","74180","24172","6725","12084","5361","4132","7422","359","80702","19615","14880","19238"
