"縣市別","County(City)","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","343323","287808","50031","19505","4759","144009","67236","2268","55515"
"中央各機關","CentralGovernmentAgency","187114","146299","32384","10241","1984","60129","40410","1151","40815"
"地方各機關","LocalGovernmentAgency","156209","141509","17647","9264","2775","83880","26826","1117","14700"
"新北市各機關","NewTaipeiCityAgency","18288","17450","2253","964","239","11404","2540","50","838"
"臺北市各機關","TaipeiCityAgency","27940","22759","4320","2220","531","12107","3288","293","5181"
"臺中市各機關","TaichungCityAgency","14741","14044","1735","884","265","8393","2693","74","697"
"臺南市各機關","TainanCityAgency","11389","10704","1278","708","286","6185","2174","73","685"
"高雄市各機關","KaohsiungCityAgency","19073","17592","2589","1160","483","9290","3966","104","1481"
"宜蘭縣各機關","YilanCountyAgency","3629","3327","342","190","41","1918","819","17","302"
"桃園縣各機關","TaoyuanCountyAgency","9379","8815","869","516","122","5856","1414","38","564"
"新竹縣各機關","HsinchuCountyAgency","3399","3041","382","192","42","1895","516","14","358"
"苗栗縣各機關","MiaoliCountyAgency","4053","3679","417","230","74","2196","742","20","374"
"彰化縣各機關","ChanghuaCountyAgency","7487","6943","602","482","146","4145","1531","37","544"
"南投縣各機關","NantouCountyAgency","4263","3861","337","222","55","2341","883","23","402"
"雲林縣各機關","YunlinCountyAgency","5085","4513","437","233","91","2696","1021","35","572"
"嘉義縣各機關","ChiayiCountyAgency","4254","3848","383","225","84","2363","782","11","406"
"屏東縣各機關","PingtungCountyAgency","6179","5489","484","417","105","3321","1105","57","690"
"臺東縣各機關","TaitungCountyAgency","3148","2764","208","80","22","1878","556","20","384"
"花蓮縣各機關","HualienCountyAgency","3481","3077","188","94","27","2064","678","26","404"
"澎湖縣各機關","PenghuCountyAgency","1761","1623","83","35","5","1084","400","16","138"
"基隆市各機關","KeelungCityAgency","2852","2583","236","140","39","1614","536","18","269"
"新竹市各機關","HsinchuCityAgency","2459","2304","272","131","51","1414","422","14","155"
"嘉義市各機關","ChiayiCityAgency","1938","1820","154","117","59","1112","363","15","118"
"金門縣各機關","KinmenCountyAgency","1154","1061","64","18","8","507","339","125","93"
"連江縣各機關","LienchiangCountyAgency","257","212","14","6","－","97","58","37","45"
