"官等別","Rank","總計 Grand Total","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","新北市各機關 New Taipei City Agency","台北市各機關 Taipei City Agency","臺中市各機關 Taichung City Agency","臺南市各機關 Tainan City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency"
"總計","GrandTotal","343323","187114","63367","18288","27940","14741","11389","19073","1411"
"政務人員","PoliticalAppointee","445","217","107","19","26","23","22","24","7"
"特任(派)","SpeciallyAppointmentRank","147","147","－","－","－","－","－","－","－"
"比照簡任十四職等","EquivalenttoGrade14","59","46","1","3","2","2","2","3","－"
"比照簡任十三職等","EquivalenttoGrade13","159","24","32","16","24","21","20","21","1"
"比照簡任十二職等","EquivalenttoGrade12","80","－","74","－","－","－","－","－","6"
"直轄市長","Mayor","5","－","－","1","1","1","1","1","－"
"縣(市)長","Magistrate","17","－","15","－","－","－","－","－","2"
"鄉(鎮、市)長","Alcalde","211","－","201","－","－","－","－","－","10"
"簡薦委任(派)人員","RankingServant","182619","91739","37708","9554","17348","7722","6586","11003","959"
"簡任","SeniorRank","9772","8320","485","132","294","152","119","224","46"
"簡派","SeniorDetail","266","200","－","－","61","－","－","5","－"
"薦任","JuniorRank","105798","51145","22933","5779","9448","4770","4163","7033","527"
"薦派","JuniorDetail","2517","1472","7","2","928","1","－","107","－"
"委任","ElementaryRank","61453","28634","13904","3588","6366","2739","2277","3563","382"
"委派","ElementaryDetail","730","556","3","1","145","－","－","25","－"
"雇員","AuxiliaryEmployee","2083","1412","376","52","106","60","27","46","4"
"警察人員","PoliceOfficer","75678","13890","25272","8531","8284","6995","4780","7516","410"
"警監","SelectedRank","273","163","37","16","18","12","12","11","4"
"警正","RecommendedRank","49230","10890","16467","3610","4753","4258","3543","5399","310"
"警佐","DelegatedRank","26175","2837","8768","4905","3513","2725","1225","2106","96"
"分類職位人員","CategorizedPositionPersonnel","22464","21891","22","－","551","－","－","－","－"
"13職等6級以上(12至14職等)","Grade13,Level6&Over(Grade12to14)","761","750","－","－","11","－","－","－","－"
"7至13職等5級(8至11職等)","Grade7to13,underLevel5(Grade8to11)","17193","16685","13","－","495","－","－","－","－"
"1至6職等(3至7職等)","Grade1to6(Grade3to7)","4510","4456","9","－","45","－","－","－","－"
"資位人員","RankPersonnel","30962","30962","－","－","－","－","－","－","－"
"長級","SeniorLevel","92","92","－","－","－","－","－","－","－"
"副長級","Sub-seniorLevel","646","646","－","－","－","－","－","－","－"
"高員級","JuniorLevel","5387","5387","－","－","－","－","－","－","－"
"員級","ElementaryLevel","6110","6110","－","－","－","－","－","－","－"
"佐級","AssistantLevel","14349","14349","－","－","－","－","－","－","－"
"士級","BasicLevel","4378","4378","－","－","－","－","－","－","－"
"金融人員","FinancialPersonnel","14229","14229","－","－","－","－","－","－","－"
"14(13)職等以上","Grade14(13)&over","293","293","－","－","－","－","－","－","－"
"8至13(8至12)職等","Grade8to13(Grade8to12)","11138","11138","－","－","－","－","－","－","－"
"6職等至7職等","Grade6to7","2327","2327","－","－","－","－","－","－","－"
"5職等","Grade5","471","471","－","－","－","－","－","－","－"
"醫事人員","MedicalPersonnel","16691","14184","42","183","1730","－","－","529","23"
"師(一)級","SeniorGrade1","417","384","1","1","17","－","－","13","1"
