"性別及年齡別","Sex & Age","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15年 Years","16年 Years","17年 Years","18年 Years","19年 Years","20年 Years","21年 Years","22年 Years","23年 Years","24年 Years","25年 Years","26年 Years","27年 Years","28年 Years","29年 Years","30年以上 30 Years & Over"
"總計","GrandTotal","343323","58321","35404","35743","12211","11504","12531","14513","14176","15147","15804","17403","14227","7725","9028","8380","9097","6766","7518","37825"
"男性","Male","208888","32978","19723","18314","5650","5990","7563","9423","8448","9696","9110","11487","11029","5292","6498","5845","5828","4394","4671","26949"
"女性","Female","134435","25343","15681","17429","6561","5514","4968","5090","5728","5451","6694","5916","3198","2433","2530","2535","3269","2372","2847","10876"
"18-25歲","Years","5291","5289","2","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"25-30歲","Years","25978","21301","4673","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"30-35歲","Years","36391","19075","13098","4192","22","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"35-40歲","Years","48805","7151","9660","14174","3670","3731","4005","3535","2123","490","258","8","－","－","－","－","－","－","－","－"
"40-45歲","Years","65672","3142","4494","10547","4436","4048","4801","5048","5370","5827","4163","6690","5194","1237","642","28","4","1","－","－"
"45歲","Years","12994","360","584","1118","538","535","723","1017","1157","1259","1392","999","750","855","995","666","45","1","－","－"
"46歲","Years","12704","328","445","966","451","405","621","844","985","1208","1416","1078","972","588","769","922","636","55","13","2"
"47歲","Years","12526","278","347","721","416","368","436","648","918","1208","1379","1215","1121","552","566","579","906","472","381","15"
"48歲","Years","13012","213","327","656","370","278","346","585","716","1016","1356","1187","1103","631","817","713","732","900","688","378"
"49歲","Years","12881","175","232","508","333","258","271","476","577","836","1160","1046","1060","662","914","911","806","709","720","1227"
"50歲","Years","11689","144","194","409","298","227","238","368","486","635","961","987","909","623","837","929","925","505","401","1613"
"51歲","Years","10676","142","180","327","244","210","242","334","372","591","842","818","771","618","760","774","941","621","484","1405"
"52歲","Years","9795","125","143","320","234","224","162","329","312","435","603","693","576","508","673","702","907","650","795","1404"
"53歲","Years","9077","108","151","274","204","179","123","273","230","350","486","562","454","372","522","575","823","612","842","1937"
"54歲","Years","8399","82","116","219","159","158","105","211","201","290","375","423","320","275","453","432","682","579","726","2593"
"55歲","Years","8020","88","104","222","146","148","89","203","157","229","321","394","225","220","360","351","526","444","674","3119"
"56歲","Years","6523","65","100","184","135","132","103","165","144","181","275","320","216","132","169","219","310","333","503","2837"
"57歲","Years","5840","58","91","161","111","98","64","141","113","152","218","249","140","105","138","158","257","246","364","2976"
"58歲","Years","5362","47","94","145","124","107","54","100","98","116","182","195","146","101","113","131","190","181","287","2951"
"59歲","Years","4983","36","88","146","81","101","44","84","83","113","148","175","92","76","102","80","135","153","219","3027"
"60歲","Years","4768","27","80","136","76","105","43","54","54","100","101","130","65","59","76","87","108","109","182","3176"
"61歲","Years","3585","23","70","97","49","55","21","33","29","45","58","87","41","42","50","52","70","66","98","2599"
"62歲","Years","3072","19","38","76","48","55","14","33","14","23","43","61","35","34","32","24","48","67","60","2348"
"63歲","Years","2504","17","43","80","30","33","15","20","24","23","33","43","22","17","23","22","27","28","49","1955"
"64歲","Years","1946","9","20","40","24","30","6","7","9","16","21","35","12","11","12","21","16","24","24","1609"
"65歲以上","65Years&Over","830","19","30","21","12","15","5","5","4","4","13","8","3","7","5","4","3","10","8","654"
"資料來源：全國公務人力資料庫。","Source:AllCivilServantsDatabase."
