"機關別","Agency","總計 Grand Total","應銓敘(人) Qualification Should be Screened (person)","應銓敘(百分比) Qualification Should be Screened (%)","不必銓敘(人) Qualification Should not be Screened (person)","不必銓敘(百分比) Qualification Should not be Screened (%)"
"總計","GrandTotal","343323","279030","81.27","64293","18.73"
"行政機關","AdministrativeAgency","227071","224498","98.87","2573","1.13"
"公營事業機構","PublicEnterpriseOrg.","71035","9441","13.29","61594","86.71"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","19723","19613","99.44","110","0.56"
"公立學校(職員)","PublicSchool(Staff)","25494","25478","99.94","16","0.06"
"中央各機關","CentralGovernmentAgency","187114","124526","66.55","62588","33.45"
"行政機關","AdministrativeAgency","92518","91042","98.40","1476","1.60"
"公營事業機構","PublicEnterpriseOrg.","68243","7228","10.59","61015","89.41"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16815","16726","99.47","89","0.53"
"公立學校(職員)","PublicSchool(Staff)","9538","9530","99.92","8","0.08"
"臺灣各縣市機關","LocalCounty(City)Agency","63367","62646","98.86","721","1.14"
"行政機關","AdministrativeAgency","56525","55833","98.78","692","1.22"
"公營事業機構","PublicEnterpriseOrg.","80","56","70.00","24","30.00"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","52","52","100.00","－","－"
"公立學校(職員)","PublicSchool(Staff)","6710","6705","99.93","5","0.07"
"新北市各機關","NewTaipeiCityAgency","18288","18216","99.61","72","0.39"
"行政機關","AdministrativeAgency","16424","16353","99.57","71","0.43"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","205","204","99.51","1","0.49"
"公立學校(職員)","PublicSchool(Staff)","1659","1659","100.00","－","－"
"臺北市各機關","TaipeiCityAgency","27940","27256","97.55","684","2.45"
"行政機關","AdministrativeAgency","20466","20355","99.46","111","0.54"
"公營事業機構","PublicEnterpriseOrg.","2528","1975","78.13","553","21.88"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1989","1971","99.10","18","0.90"
"公立學校(職員)","PublicSchool(Staff)","2957","2955","99.93","2","0.07"
"臺中市各機關","TaichungCityAgency","14741","14657","99.43","84","0.57"
"行政機關","AdministrativeAgency","13285","13201","99.37","84","0.63"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1456","1456","100.00","－","－"
"臺南市各機關","TainanCityAgency","11389","11339","99.56","50","0.44"
"行政機關","AdministrativeAgency","10323","10273","99.52","50","0.48"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1066","1066","100.00","－","－"
"高雄市各機關","KaohsiungCityAgency","19073","19002","99.63","71","0.37"
"行政機關","AdministrativeAgency","16346","16279","99.59","67","0.41"
"公營事業機構","PublicEnterpriseOrg.","88","86","97.73","2","2.27"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","637","635","99.69","2","0.31"
"公立學校(職員)","PublicSchool(Staff)","2002","2002","100.00","－","－"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1411","1388","98.37","23","1.63"
"行政機關","AdministrativeAgency","1184","1162","98.14","22","1.86"
"公營事業機構","PublicEnterpriseOrg.","96","96","100.00","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","25","25","100.00","－","－"
"公立學校(職員)","PublicSchool(Staff)","106","105","99.06","1","0.94"
