"性別及機關別","Sex & Agency","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","男性 Male","女性 Female"
"總計","GrandTotal","343861","6074","26166","40488","45551","65143","63894","48928","30449","16282","886","43.39","206784","137077"
"男性","Male","206784","4204","13203","21354","26720","39141","39068","29239","20949","12192","714","44.14","",""
"女性","Female","137077","1870","12963","19134","18831","26002","24826","19689","9500","4090","172","42.25","",""
"中央各機關","CentralGovernmentAgency","187670","1366","11318","20635","23159","30950","33940","30036","22153","13381","732","45.05","112008","75662"
"行政機關","AdministrativeAgency","92821","938","6239","10826","13726","18645","17437","13004","7556","4049","401","43.45","55730","37091"
"公營事業機構","PublicEnterpriseOrg.","68223","361","3604","6479","5335","6292","10739","13261","13119","8733","300","48.06","48790","19433"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","16939","14","1021","2603","2935","3779","3336","1947","861","422","21","42.12","4078","12861"
"公立學校(職員)","PublicSchool(Staff)","9687","53","454","727","1163","2234","2428","1824","617","177","10","44.37","3410","6277"
"臺灣各縣市機關","LocalCounty(City)Agency","64204","1481","5393","7484","8839","15016","13226","8073","3429","1193","70","41.95","39387","24817"
"行政機關","AdministrativeAgency","57201","1467","5167","6912","7900","13254","11413","6848","3053","1120","67","41.70","37985","19216"
"公營事業機構","PublicEnterpriseOrg.","73","1","1","6","3","7","12","23","10","10","－","49.30","49","24"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","51","－","2","8","14","5","8","9","4","1","－","42.45","13","38"
"公立學校(職員)","PublicSchool(Staff)","6879","13","223","558","922","1750","1793","1193","362","62","3","44.02","1340","5539"
"新北市各機關","NewTaipeiCityAgency","18465","1438","3091","3353","2551","3066","2464","1577","721","198","6","37.78","11401","7064"
"行政機關","AdministrativeAgency","16564","1433","3014","3145","2287","2577","1979","1315","627","181","6","37.16","11076","5488"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","208","－","11","40","46","39","33","21","12","6","－","41.55","66","142"
"公立學校(職員)","PublicSchool(Staff)","1693","5","66","168","218","450","452","241","82","11","－","43.45","259","1434"
"臺北市各機關","TaipeiCityAgency","26089","773","2658","3637","3942","4817","4434","3353","1775","658","42","41.43","14468","11621"
"行政機關","AdministrativeAgency","20574","759","2479","3197","3241","3588","3180","2372","1251","478","29","40.46","13018","7556"
"公營事業機構","PublicEnterpriseOrg.","657","－","12","29","73","132","104","101","110","85","11","48.54","419","238"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1871","－","19","131","280","434","457","325","176","49","－","45.32","455","1416"
"公立學校(職員)","PublicSchool(Staff)","2987","14","148","280","348","663","693","555","238","46","2","44.17","576","2411"
"臺中市各機關","TaichungCityAgency","15298","402","1565","1926","2300","3675","2939","1625","598","255","13","40.95","9555","5743"
"行政機關","AdministrativeAgency","13749","398","1501","1799","2077","3296","2532","1383","514","236","13","40.64","9305","4444"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1549","4","64","127","223","379","407","242","84","19","－","43.75","250","1299"
"臺南市各機關","TainanCityAgency","11503","158","815","1208","1731","2936","2488","1422","532","201","12","42.30","7195","4308"
"行政機關","AdministrativeAgency","10310","154","797","1129","1569","2619","2154","1210","473","193","12","42.05","7024","3286"
"公營事業機構","PublicEnterpriseOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"公立學校(職員)","PublicSchool(Staff)","1193","4","18","79","162","317","334","212","59","8","－","44.41","171","1022"
"高雄市各機關","KaohsiungCityAgency","19234","443","1242","2079","2817","4471","4195","2641","1016","321","9","42.41","11730","7504"
"行政機關","AdministrativeAgency","16526","425","1124","1843","2453","3854","3551","2121","859","287","9","42.16","11105","5421"
"公營事業機構","PublicEnterpriseOrg.","88","－","7","14","15","17","9","11","14","1","－","42.70","53","35"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","579","2","14","24","76","129","154","118","48","14","－","45.64","191","388"
"公立學校(職員)","PublicSchool(Staff)","2041","16","97","198","273","471","481","391","95","19","－","43.53","381","1660"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1398","13","84","166","212","212","208","201","225","75","2","44.68","1040","358"
"行政機關","AdministrativeAgency","1168","13","75","144","186","178","173","157","177","63","2","44.29","917","251"
"公營事業機構","PublicEnterpriseOrg.","96","－","5","8","8","11","19","17","22","6","－","47.60","70","26"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","28","－","3","10","7","2","1","4","1","－","－","37.75","12","16"
