"縣市別","County(City)","總計 Grand Total","男性 Male","女性 Female","行政機關 Administrative Agency","計 Total","生產事業 Production Enterprise","交通事業 Transportation Enterprise","金融事業 Financial Enterprise","衛生醫療機構 Hygien & Medical Service Org.","公立學校(職員) Public School (Staff)"
"總計","GrandTotal","343861","206784","137077","228913","69137","22878","31164","15095","19676","26135"
"中央各機關","CentralGovernmentAgency","187670","112008","75662","92821","68223","22194","30998","15031","16939","9687"
"地方各機關","LocalGovernmentAgency","156191","94776","61415","136092","914","684","166","64","2737","16448"
"新北市各機關","NewTaipeiCityAgency","18465","11401","7064","16564","－","－","－","－","208","1693"
"臺北市各機關","TaipeiCityAgency","26089","14468","11621","20574","657","602","－","55","1871","2987"
"臺中市各機關","TaichungCityAgency","15298","9555","5743","13749","－","－","－","－","－","1549"
"臺南市各機關","TainanCityAgency","11503","7195","4308","10310","－","－","－","－","－","1193"
"高雄市各機關","KaohsiungCityAgency","19234","11730","7504","16526","88","－","79","9","579","2041"
"宜蘭縣各機關","YilanCountyAgency","3690","2188","1502","3254","－","－","－","－","－","436"
"桃園縣各機關","TaoyuanCountyAgency","9727","6035","3692","8526","－","－","－","－","－","1201"
"新竹縣各機關","HsinchuCountyAgency","3451","1913","1538","3001","14","14","－","－","－","436"
"苗栗縣各機關","MiaoliCountyAgency","4076","2445","1631","3627","－","－","－","－","－","449"
"彰化縣各機關","ChanghuaCountyAgency","7650","4709","2941","6846","－","－","－","－","－","804"
"南投縣各機關","NantouCountyAgency","4272","2673","1599","3830","－","－","－","－","－","442"
"雲林縣各機關","YunlinCountyAgency","5111","3008","2103","4533","－","－","－","－","－","578"
"嘉義縣各機關","ChiayiCountyAgency","4309","2648","1661","3902","14","－","14","－","－","393"
"屏東縣各機關","PingtungCountyAgency","6277","3834","2443","5692","－","－","－","－","－","585"
"臺東縣各機關","TaitungCountyAgency","3148","2012","1136","2814","－","－","－","－","－","334"
"花蓮縣各機關","HualienCountyAgency","3526","2186","1340","3129","－","－","－","－","－","397"
"澎湖縣各機關","PenghuCountyAgency","1765","1267","498","1691","13","－","13","－","－","61"
"基隆市各機關","KeelungCityAgency","2820","1779","1041","2446","32","－","32","－","51","291"
"新竹市各機關","HsinchuCityAgency","2456","1449","1007","2133","－","－","－","－","－","323"
"嘉義市各機關","ChiayiCityAgency","1926","1241","685","1777","－","－","－","－","－","149"
"金門縣各機關","KinmenCountyAgency","1146","853","293","1009","57","47","10","－","－","80"
"連江縣各機關","LienchiangCountyAgency","252","187","65","159","39","21","18","－","28","26"
