"縣市別","County(City)","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","335274","256333","2414","31539","105999","116381","74340","4601"
"中央各機關","CentralGovernmentAgency","185286","147424","2239","22599","67231","55355","33692","4170"
"地方各機關","LocalGovernmentAgency","149988","108909","175","8940","38768","61026","40648","431"
"臺北市各機關","TaipeiCityAgency","28208","23208","77","2891","9458","10782","4946","54"
"高雄市各機關","KaohsiungCityAgency","12142","8965","22","1073","3561","4309","3164","13"
"臺北縣各機關","TaipeiCountyAgency","15269","11286","13","708","3809","6756","3952","31"
"宜蘭縣各機關","YilanCountyAgency","3659","2560","2","158","801","1599","1084","15"
"桃園縣各機關","TaoyuanCountyAgency","8537","6337","9","409","1977","3942","2183","17"
"新竹縣各機關","HsinchuCountyAgency","3247","2422","－","163","900","1359","812","13"
"苗栗縣各機關","MiaoliCountyAgency","3790","2614","3","127","868","1616","1160","16"
"臺中縣各機關","TaichungCountyAgency","7811","5796","5","322","1910","3559","1987","28"
"彰化縣各機關","ChanghuaCountyAgency","7490","5268","1","336","1784","3147","2199","23"
"南投縣各機關","NantouCountyAgency","4229","2882","3","201","895","1783","1337","10"
"雲林縣各機關","YunlinCountyAgency","4978","3353","6","160","1071","2116","1598","27"
"嘉義縣各機關","ChiayiCountyAgency","4277","2904","1","195","950","1758","1364","9"
"臺南縣各機關","TainanCountyAgency","6791","4614","8","313","1749","2544","2157","20"
"高雄縣各機關","KaohsiungCountyAgency","7082","4575","6","399","1569","2601","2484","23"
"屏東縣各機關","PingtungCountyAgency","5954","3739","4","193","1341","2201","2190","25"
"臺東縣各機關","TaitungCountyAgency","3130","1943","1","110","566","1266","1182","5"
"花蓮縣各機關","HualienCountyAgency","3485","2304","－","126","604","1574","1176","5"
"澎湖縣各機關","PenghuCountyAgency","1841","1090","1","64","323","702","743","8"
"基隆市各機關","KeelungCityAgency","2865","2047","1","133","702","1211","812","6"
"新竹市各機關","HsinchuCityAgency","2393","1817","2","155","669","991","571","5"
"臺中市各機關","TaichungCityAgency","5442","3971","5","327","1359","2280","1466","5"
"嘉義市各機關","ChiayiCityAgency","1937","1381","2","97","482","800","554","2"
"臺南市各機關","TainanCityAgency","4083","2880","1","195","1071","1613","1200","3"
"金門縣各機關","KinmenCountyAgency","958","711","1","66","245","399","200","47"
"連江縣各機關","LienchiangCountyAgency","390","242","1","19","104","118","127","21"
