"職系別","Series","統計 Grand Total","男性 Male","女性 Female","中央政府 Central Government Agency","地方政府 Local Government Agency"
"總計","GrandTotal","336842","211350","125492","185960","150882"
"行政類","AdministrationType","131772","58869","72903","67455","64317"
"一般行政","GeneralAdministration","34409","13515","20894","15226","19183"
"一般民政","GeneralCivilAffairs","9351","5477","3874","431","8920"
"社會行政","SocialAdministration","5165","1543","3622","1166","3999"
"人事行政","PersonnelAdministration","8134","3356","4778","3913","4221"
"戶政","Population","7059","2950","4109","1834","5225"
"原住民族行政","AboriginesAdministration","150","83","67","50","100"
"社會工作","Socialwork","589","42","547","114","475"
"勞工行政","LaborAdministration","742","305","437","356","386"
"文化行政","CulturalAdministration","405","143","262","124","281"
"教育行政","EducationalAdministration","2311","659","1652","937","1374"
"新聞","News","705","364","341","580","125"
"財稅行政","FinancialAdministration","12040","3286","8754","6604","5436"
"金融保險","FinancialInsurance","975","450","525","900","75"
"統計","Statistic","1105","336","769","830","275"
"會計","Accounting","9395","1861","7534","4843","4552"
"審計","Audit","610","298","312","610","－"
"司法行政","JudicialAdministration","8535","4529","4006","8535","－"
"矯正","Corrections","5630","5014","616","5630","－"
"法制","Constitution","1196","690","506","622","574"
"經建行政","EconomicAdministration","3280","2066","1214","1590","1690"
"企業管理","EnterpriseManagement","1756","1187","569","1633","123"
"工業行政","IndustrialAdministration","26","18","8","9","17"
"商業行政","BusinessAdministration","72","31","41","33","39"
"農業行政","AgriculturalAdministration","716","433","283","481","235"
"智慧財產行政","IntelligencePropertyAdministration","57","17","40","57","－"
"消費者保護","ConsumerProtection","8","7","1","－","8"
"外交事務","ForeignAffairs","1027","777","250","1027","－"
"僑務行政","OverseasCompatriotAdministration","194","97","97","194","－"
"審檢","AuditProsecution","2843","1849","994","2843","－"
"警察行政","PoliceAdministration","87","70","17","74","13"
"衛生行政","HealthAdministration","1068","240","828","362","706"
"醫務管理","MedicalManagement","192","32","160","135","57"
"環保行政","EnvironmentAdministration","401","233","168","99","302"
"消防行政","FireAdministration","165","139","26","21","144"
"海巡行政","CoastGuardAdministration","255","204","51","255","－"
"地政","LandAdministration","4278","1929","2349","536","3742"
"博物館管理","MuseumManagement","49","21","28","23","26"
"圖書資訊管理","LibraryManagement","1092","188","904","666","426"
"檔案管理","ArchivesManagement","131","33","98","64","67"
"安全保防","SecurityAdministration","2335","2052","283","2327","8"
"情報行政","IntelligenceAdministration","－","－","－","－","－"
"交通行政","TransportationAdministration","1000","636","364","454","546"
"技術類","TechniqueType","41924","33747","8177","28823","13101"
"農業技術","AgriculturalTechnique","1700","1195","505","1156","544"
"林業技術","ForestTechnique","926","607","319","821","105"
"農業化學","AgriculturalChemistry","20","13","7","20","－"
"園藝","Horticulture","90","42","48","22","68"
"植物病蟲害防治","PlantblightPreventionandCure","151","87","64","150","1"
"自然保育","NaturalProtection","70","51","19","63","7"
"土木工程","CivilEngineering","11337","10243","1094","6719","4618"
"結構工程","StructuralEngineering","6","6","－","2","4"
"水利工程","WaterResourcesEngineering","208","186","22","49","159"
"環境工程","EnvironmentalEngineering","268","234","34","128","140"
"建築工程","ArchitecturalEngineering","358","285","73","62","296"
"都市計畫技術","UrbanPlanningEngineering","212","141","71","59","153"
"水土保持工程","Soil&WaterConservationEngineering","151","134","17","115","36"
"機械工程","MechanicalEngineering","3193","3126","67","2651","542"
"電力工程","PowerEngineering","4893","4792","101","4363","530"
"電子工程","ElectronicEngineering","2202","2091","111","1850","352"
"電信工程","TelecommunicationEngineering","183","164","19","133","50"
"資訊處理","InformationProcessing","2880","1695","1185","2172","708"
"物理","Physics","82","68","14","81","1"
"原子能","AtomicEnergy","1127","1068","59","1127","－"
"化學工程","ChemicalEngineering","962","753","209","852","110"
"衛生檢驗","HealthInspection","549","189","360","395","154"
"環境檢驗","EnvironmentInspection","187","104","83","84","103"
"農畜水產品檢驗","AgricultureInspection","66","44","22","66","－"
"商品檢驗","CommodityInspection","229","184","45","229","－"
"地質","Geologic","83","69","14","82","1"
"礦冶材料","MineralMaterial","105","98","7","103","2"
"測量製圖","SurveyingandMapping","1659","1533","126","361","1298"
"藥事","Pharmaceutical","355","111","244","293","62"
"法醫","ForensicMedicine","54","39","15","54","－"
"刑事鑑識","ForensicScience","44","31","13","39","5"
"交通技術","TransportationTechnique","673","522","151","375","298"
"天文","Astronomy","19","17","2","5","14"
"氣象","Meteorology","466","370","96","466","－"
"技藝","Skill","370","235","135","312","58"
"視聽製作","AudiovisualManufacture","53","45","8","45","8"
"衛生技術","HealthTechnique","2382","481","1901","1365","1017"
"消防技術","FireTechnique","206","199","7","37","169"
"海巡技術","CoastGuardTechnique","95","94","1","95","－"
"水產技術","FisheryTechnique","366","284","82","232","134"
"畜牧技術","PasturageTechnique","213","165","48","143","70"
"獸醫","Veterinarian","946","699","247","346","600"
"工業工程","IndustrialEngineer","566","513","53","404","162"
"工業安全","IndustrialSafety","31","26","5","25","6"
"醫學工程","MedicalEngineering","23","18","5","23","－"
"環保技術","EnvironmentTechnique","715","429","286","218","497"
"航空管制","AerialControl","337","176","161","337","－"
"航空駕駛","AerialPilot","55","54","1","55","－"
"船舶駕駛","MarinePilot","10","10","－","9","1"
"景觀設計","LandscapeDesign","27","14","13","9","18"
"生物技術","BiologicalTechnique","21","13","8","21","－"
"無職系","NoSeries","163146","118734","44412","89682","73464"
