"縣市別","County(City)","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","平均年資(年) Average Seniority (Year)"
"中央各機關","CentralGovernmentAgency","186820","1133","9729","17567","27744","32855","35091","31504","21474","9075","648","44.84","17.95"
"地方各機關","LocalGovernmentAgency","151485","4759","11089","17517","31911","31022","29007","17411","6871","1759","139","41.14","15.53"
"臺北市各機關","TaipeiCityAgency","28104","729","2488","4239","5437","4938","4827","3534","1483","406","23","40.93","14.57"
"高雄市各機關","KaohsiungCityAgency","12058","100","622","1214","2303","2637","2749","1673","607","147","6","42.65","17.41"
"臺北縣各機關","TaipeiCountyAgency","16068","1455","2260","2308","3204","2505","2288","1415","513","112","8","37.91","12.33"
"宜蘭縣各機關","YilanCountyAgency","3574","94","172","337","822","847","735","388","147","29","3","41.58","15.35"
"桃園縣各機關","TaoyuanCountyAgency","8879","716","1043","1219","1887","1520","1438","749","249","55","3","38.46","13.29"
"新竹縣各機關","HsinchuCountyAgency","3344","146","277","352","694","654","613","399","162","42","5","40.97","14.75"
"苗栗縣各機關","MiaoliCountyAgency","3841","80","243","357","807","803","798","478","200","67","8","42.17","16.16"
"臺中縣各機關","TaichungCountyAgency","7896","202","439","831","1902","1793","1500","783","345","93","8","41.32","15.80"
"彰化縣各機關","ChanghuaCountyAgency","7517","164","396","760","1776","1720","1518","796","287","90","10","41.53","16.44"
"南投縣各機關","NantouCountyAgency","4189","69","210","340","855","1011","953","486","209","51","5","42.45","16.90"
"雲林縣各機關","YunlinCountyAgency","4941","57","273","466","1022","1078","1041","631","273","91","9","42.54","16.59"
"嘉義縣各機關","ChiayiCountyAgency","4245","52","278","448","876","954","887","489","199","56","6","41.92","16.38"
"臺南縣各機關","TainanCountyAgency","6842","80","302","664","1638","1563","1375","813","318","85","4","42.12","16.70"
"高雄縣各機關","KaohsiungCountyAgency","7110","91","377","684","1600","1725","1450","794","313","71","5","41.94","16.51"
"屏東縣各機關","PingtungCountyAgency","6060","67","268","490","1096","1484","1439","771","334","96","15","43.09","17.07"
"臺東縣各機關","TaitungCountyAgency","3055","32","133","279","650","709","682","388","154","24","4","42.50","16.59"
"花蓮縣各機關","HualienCountyAgency","3474","98","164","289","655","770","796","502","168","31","1","42.49","16.39"
"澎湖縣各機關","PenghuCountyAgency","1807","6","61","157","537","388","354","208","75","20","1","42.02","17.24"
"基隆市各機關","KeelungCityAgency","2788","51","155","303","578","548","579","383","154","35","2","42.24","16.65"
"新竹市各機關","HsinchuCityAgency","2426","91","164","286","556","496","429","270","110","22","2","40.81","15.68"
"臺中市各機關","TaichungCityAgency","5924","296","429","725","1511","1227","988","504","192","46","6","39.77","15.75"
"嘉義市各機關","ChiayiCityAgency","1892","27","75","171","430","441","439","217","76","16","－","42.22","17.62"
"臺南市各機關","TainanCityAgency","4054","33","166","395","856","1016","936","454","167","30","1","42.28","17.51"
"金門縣各機關","KinmenCountyAgency","1152","16","79","168","188","161","145","237","114","40","4","43.37","17.69"
"連江縣各機關","LienchiangCountyAgency","245","7","15","35","31","34","48","49","22","4","－","43.15","17.73"
