"官等別","Rank","總計 Grand Total","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","新北市各機關 New Taipei City Agency","台北市各機關 Taipei City Agency","臺中市各機關 Taichung City Agency","臺南市各機關 Tainan City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency"
"總計","GrandTotal","338305","186820","109926","28104","12058","1397"
"政務人員","PoliticalAppointee","403","210","135","27","25","6"
"特任(派)","SpeciallyAppointmentRank","136","136","－","－","－","－"
"比照簡任十四職等","EquivalenttoGrade14","55","49","2","2","2","－"
"比照簡任十三職等","EquivalenttoGrade13","117","25","42","25","23","2"
"比照簡任十二職等","EquivalenttoGrade12","95","－","91","－","－","4"
"民選機關首長","ElectedAgencyChief","330","－","317","1","1","11"
"直轄市長","Mayor","2","－","－","1","1","－"
"縣(市)長","Magistrate","23","－","21","－","－","2"
"鄉(鎮、市)長","Alcalde","305","－","296","－","－","9"
"簡薦委任(派)人員","RankingServant","177913","89327","61941","18371","7304","970"
"簡任","SeniorRank","8849","7689","692","269","156","43"
"簡派","SeniorDetail","258","188","－","66","4","－"
"薦任","JuniorRank","98932","48297","36572","9163","4391","509"
"薦派","JuniorDetail","2748","1679","6","942","121","－"
"委任","ElementaryRank","63689","29028","24026","7657","2564","414"
"委派","ElementaryDetail","824","641","3","155","25","－"
"雇員","AuxiliaryEmployee","2613","1805","642","119","43","4"
"警察人員","PoliceOfficer","72718","13951","47265","7083","4028","391"
"警監","SelectedRank","234","171","40","9","10","4"
"警正","RecommendedRank","47496","10687","29407","4151","2965","286"
"警佐","DelegatedRank","24988","3093","17818","2923","1053","101"
"資料來源：全國公務人力資料庫。"
"註：分類職位人員項下括弧內之職等，係指直轄市及各縣市生產事業人員之職等；金融人員項下括弧內之職等"
"13職等6級以上(12至14職等)","Grade13,Level6&Over(Grade12to14)","787","776","－","11","－","－"
"7至13職等5級(8至11職等)","Grade7to13,underLevel5(Grade8to11)","18159","17614","21","524","－","－"
"1至6職等(3至7職等)","Grade1to6(Grade3to7)","2448","2376","15","57","－","－"
"資位人員","RankPersonnel","32597","32597","－","－","－","－"
"長級","SeniorLevel","90","90","－","－","－","－"
"副長級","Sub-seniorLevel","688","688","－","－","－","－"
"高員級","JuniorLevel","5177","5177","－","－","－","－"
"員級","ElementaryLevel","6570","6570","－","－","－","－"
"佐級","AssistantLevel","13703","13703","－","－","－","－"
"士級","BasicLevel","6369","6369","－","－","－","－"
"金融人員","FinancialPersonnel","15559","15559","－","－","－","－"
"14(13)職等以上","Grade14(13)&over","345","345","－","－","－","－"
"8至13(8至12)職等","Grade8to13(Grade8to12)","12015","12015","－","－","－","－"
"6職等至7職等","Grade6to7","2399","2399","－","－","－","－"
"5職等","Grade5","800","800","－","－","－","－"
"醫事人員","MedicalPersonnel","17391","14410","232","2030","700","19"
"師(一)級","SeniorGrade1","441","401","2","19","19","－"
"師(二)級","SeniorGrade2","2722","2242","39","301","139","1"
"師(三)級","SeniorGrade3","8205","6648","121","1136","289","11"
"士(生)級","Junior","6023","5119","70","574","253","7"
