"年別及性別","Year & Sex","總計 Grand Total","性別比率 Rate of Sex(%)","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","台北市各機關 Taipei City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency","行政機關 Administrative Agency","公營事業機構 Public Enterprise Organization","衛生醫療機構 Hygiene & Medical Service Organization","公立學校(職員) Public School(Staff)"
"民國89年","2000","408515","100.00","263945","100113","31099","12072","1286","240780","136472","－","31263"
"男性","Male","272660","66.74","179990","66042","18256","7361","1011","160464","102825","－","9371"
"女性","Female","135855","33.26","83955","34071","12843","4711","275","80316","33647","－","21892"
"民國90年","2001","395523","100.00","246589","104796","31023","11789","1326","217211","124581","27794","25937"
"男性","Male","261321","66.07","165685","69937","17480","7174","1045","153349","93375","7340","7257"
"女性","Female","134202","33.93","80904","34859","13543","4615","281","63862","31206","20454","18680"
"民國91年","2002","389957","100.00","237765","107187","31289","12376","1340","218958","116798","27224","26977"
"男性","Male","255502","65.52","157925","71135","17643","7741","1058","153175","87589","7140","7598"
"女性","Female","134455","34.48","79840","36052","13646","4635","282","65783","29209","20084","19379"
"民國92年","2003","376128","100.00","223444","108586","30541","12212","1345","218775","104245","26146","26962"
"男性","Male","242001","64.34","144119","71930","17225","7679","1048","151843","76030","6741","7387"
"女性","Female","134127","35.66","79325","36656","13316","4533","297","66932","28215","19405","19575"
"民國93年","2004","368899","100.00","217504","107609","30254","12188","1344","217418","100189","25360","25932"
"男性","Male","235388","63.81","139049","70627","17028","7648","1036","149340","72760","6382","6906"
"女性","Female","133511","36.19","78455","36982","13226","4540","308","68078","27429","18978","19026"
"民國94年","2005","337261","100.00","188170","107138","28486","12153","1314","215783","74519","23250","23709"
"男性","Male","213796","63.39","118904","70090","16152","7608","1042","147206","54855","5739","5996"
"女性","Female","123465","36.61","69266","37048","12334","4545","272","68577","19664","17511","17713"
"民國95年","2006","335274","100.00","185286","108290","28208","12142","1348","216422","72922","21961","23969"
"男性","Male","211374","63.05","115965","70777","16019","7561","1052","147070","53037","5286","5981"
"女性","Female","123900","36.95","69321","37513","12189","4581","296","69352","19885","16675","17988"
"民國96年","2007","336842","100.00","185960","109275","28051","12194","1362","218793","72271","21449","24329"
"男性","Male","211350","62.74","115592","71191","15977","7536","1054","147787","52453","5143","5967"
"女性","Female","125492","37.26","70368","38084","12074","4658","308","71006","19818","16306","18362"
"民國97年","2008","338305","100.00","186820","109926","28104","12058","1397","219615","72997","20991","24702"
"男性","Male","210720","62.29","115404","70927","15951","7381","1057","146847","52763","5075","6035"
"女性","Female","127585","37.71","71416","38999","12153","4677","340","72768","20234","15916","18667"
"民國98年","2009","339875","100.00","186874","111563","27993","12036","1409","222336","71785","20675","25079"
"男性","Male","209758","61.72","114324","71203","15830","7338","1063","147028","51603","5017","6110"
"女性","Female","130117","38.28","72550","40360","12163","4698","346","75308","20182","15658","18969"
