"性別與機關別","Sex & Agency","總計 Grand Total","本機關內調動 Transfer in Original Agency 計 Total","調升 Promotion","平調 General","降調 Degrade","新進人員(人)  Newly-appointed Staff (Person) 計 Total","考試及及格分發 Assignment of Passing Examination","他機關調進 Transferred From Others","其他任用資格 Other Qualification","調至他機關 Transferred To Other Agency","辭職(人) Resignation (Person)"
"總計","GrandTotal","80407","36933","13205","23252","476","29021","11080","14283","3658","14052","401"
"男性","Male","51426","27235","8328","18592","315","16058","5978","7940","2140","7910","223"
"女性","Female","28981","9698","4877","4660","161","12963","5102","6343","1518","6142","178"
"中央各機關","CentralGovernmentAgency","39002","18636","8058","10453","125","13973","5036","6186","2751","6178","215"
"行政機關","AdministrativeAgency","22779","8390","4316","3998","76","9220","3621","5199","400","5065","104"
"公營事業機構","PublicEnterpriseOrg.","12884","9191","2986","6174","31","3284","1221","299","1764","356","53"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","1436","401","349","47","5","710","23","128","559","277","48"
"公立學校(職員)","PublicSchool(Staff)","1903","654","407","234","13","759","171","560","28","480","10"
"臺灣各縣市機關","LocalCounty(City)Agency","30785","13654","3311","10060","283","11105","4239","6176","690","5891","135"
"行政機關","AdministrativeAgency","27859","13343","3173","9909","261","9437","4091","4784","562","4950","129"
"公營事業機構","PublicEnterpriseOrg.","30","5","1","4","－","15","5","10","－","10","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","30","6","5","－","1","17","2","3","12","7","－"
"公立學校(職員)","PublicSchool(Staff)","2866","300","132","147","21","1636","141","1379","116","924","6"
"臺北市各機關","TaipeiCityAgency","7450","3374","1376","1939","59","2535","1453","920","162","1500","41"
"行政機關","AdministrativeAgency","6383","3032","1227","1768","37","2092","1379","625","88","1224","35"
"公營事業機構","PublicEnterpriseOrg.","173","70","16","52","2","87","－","25","62","16","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","107","41","34","5","2","31","14","13","4","33","2"
"公立學校(職員)","PublicSchool(Staff)","787","231","99","114","18","325","60","257","8","227","4"
"高雄市各機關","KaohsiungCityAgency","2844","1136","413","717","6","1291","316","931","44","412","5"
"行政機關","AdministrativeAgency","2550","1040","363","674","3","1119","275","804","40","386","5"
"公營事業機構","PublicEnterpriseOrg.","50","22","15","6","1","25","7","17","1","3","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","44","13","9","4","－","24","7","16","1","7","－"
"公立學校(職員)","PublicSchool(Staff)","200","61","26","33","2","123","27","94","2","16","－"
