"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","339875","46007","2906","43101","120109","108130","62255","3374"
"男性","Male","209758","30330","2345","27985","59707","68473","48281","2967"
"女性","Female","130117","15677","561","15116","60402","39657","13974","407"
"中央各機關","CentralGovernmentAgency","186874","32260","2657","29603","72744","49532","29287","3051"
"行政機關","AdministrativeAgency","90541","20870","2073","18797","35166","21323","12981","201"
"公營事業機構","PublicEnterpriseOrg.","69256","7620","290","7330","23899","19958","14952","2827"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17447","2048","255","1793","9092","5582","715","10"
"公立學校(職員)","PublicSchool(Staff)","9630","1722","39","1683","4587","2669","639","13"
"臺灣各縣市機關","LocalCounty(City)Agency","111563","8014","121","7893","32368","44723","26224","234"
"行政機關","AdministrativeAgency","100097","7456","117","7339","27497","39896","25020","228"
"公營事業機構","PublicEnterpriseOrg.","90","9","1","8","28","35","18","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","270","24","1","23","147","88","11","－"
"公立學校(職員)","PublicSchool(Staff)","11106","525","2","523","4696","4704","1175","6"
"臺北市各機關","TaipeiCityAgency","27993","4018","91","3927","10518","9531","3892","34"
"行政機關","AdministrativeAgency","20534","2930","62","2868","7001","7217","3364","22"
"公營事業機構","PublicEnterpriseOrg.","2252","654","4","650","1102","388","100","8"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2202","212","22","190","856","943","190","1"
"公立學校(職員)","PublicSchool(Staff)","3005","222","3","219","1559","983","238","3"
"高雄市各機關","KaohsiungCityAgency","12036","1557","36","1521","4054","3854","2565","6"
"行政機關","AdministrativeAgency","9987","1309","29","1280","3050","3199","2423","6"
"公營事業機構","PublicEnterpriseOrg.","89","20","－","20","27","30","12","－"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","728","104","6","98","336","251","37","－"
"公立學校(職員)","PublicSchool(Staff)","1232","124","1","123","641","374","93","－"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1409","158","1","157","425","490","287","49"
"行政機關","AdministrativeAgency","1177","132","1","131","341","431","233","40"
"公營事業機構","PublicEnterpriseOrg.","98","10","－","10","36","20","27","5"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","28","4","－","4","17","5","2","－"
"公立學校(職員)","PublicSchool(Staff)","106","12","－","12","31","34","25","4"
