"性別及機關別","Sex & Agency","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15-20年 Years","20-25年 Years","25-30年 Years","30年以上 30 Years & Over","平均年資(年) Average Seniority(Year)"
"總計","GrandTotal","339875","49130","34177","44627","73213","61077","46674","30977","16.98"
"男性","Male","209758","28585","17419","22531","45068","43486","30126","22543","17.86"
"女性","Female","130117","20545","16758","22096","28145","17591","16548","8434","15.58"
"中央各機關","CentralGovernmentAgency","186874","23168","18376","23450","39239","30366","28289","23986","18.11"
"行政機關","AdministrativeAgency","90541","14286","11023","12037","19865","15318","11003","7009","16.09"
"公營事業機構","PublicEnterpriseOrg.","69256","6325","3752","5958","12420","10441","14413","15947","21.66"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17447","1912","2698","3677","4175","2712","1651","622","15.07"
"公立學校(職員)","PublicSchool(Staff)","9630","645","903","1778","2779","1895","1222","408","17.15"
"臺灣各縣市機關","LocalCounty(City)Agency","111563","18935","11307","15192","24697","23160","13566","4706","15.62"
"行政機關","AdministrativeAgency","100097","18209","10148","13170","21408","21127","11727","4308","15.43"
"公營事業機構","PublicEnterpriseOrg.","90","12","10","11","16","13","8","20","18.72"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","270","50","71","59","42","29","14","5","11.75"
"公立學校(職員)","PublicSchool(Staff)","11106","664","1078","1952","3231","1991","1817","373","17.34"
"臺北市各機關","TaipeiCityAgency","27993","5387","3284","4361","6493","4483","2583","1402","14.61"
"行政機關","AdministrativeAgency","20534","4703","2309","2619","4680","3325","1838","1060","14.19"
"公營事業機構","PublicEnterpriseOrg.","2252","336","383","786","383","94","112","158","13.41"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2202","51","306","495","613","476","189","72","16.76"
"公立學校(職員)","PublicSchool(Staff)","3005","297","286","461","817","588","444","112","16.84"
"高雄市各機關","KaohsiungCityAgency","12036","1428","1068","1449","2519","2860","2057","655","17.53"
"行政機關","AdministrativeAgency","9987","1252","896","1118","2039","2456","1640","586","17.49"
"公營事業機構","PublicEnterpriseOrg.","89","19","12","13","19","13","10","3","14.30"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","728","58","52","131","200","152","115","20","17.27"
"公立學校(職員)","PublicSchool(Staff)","1232","99","108","187","261","239","292","46","18.20"
"資料來源：全國公務人力資料庫。","Source:AllCivilServantsDatabase."
