"性別及機關別","Sex & Agency","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","340106","284935","48004","19603","4495","144601","65544","2688","55171"
"男性","Male","208260","175860","19121","5142","1285","109042","40510","760","32400"
"女性","Female","131846","109075","28883","14461","3210","35559","25034","1928","22771"
"中央各機關","CentralGovernmentAgency","186381","145757","31495","10432","1922","60639","39955","1314","40624"
"行政機關","AdministrativeAgency","93060","84436","19043","3569","894","40012","20139","779","8624"
"公營事業機構","PublicEnterpriseOrg.","66635","42964","3663","3050","712","17631","17577","331","23671"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","17084","10126","6480","2468","8","566","574","30","6958"
"公立學校(職員)","PublicSchool(Staff)","9602","8231","2309","1345","308","2430","1665","174","1371"
"臺灣各縣市機關","LocalCounty(City)Agency","112333","104029","10385","6131","1703","65671","19412","727","8304"
"行政機關","AdministrativeAgency","100553","93906","7871","4384","1648","62213","17321","469","6647"
"公營事業機構","PublicEnterpriseOrg.","85","65","5","2","－","37","19","2","20"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","249","149","101","17","－","23","8","－","100"
"公立學校(職員)","PublicSchool(Staff)","11446","9909","2408","1728","55","3398","2064","256","1537"
"臺北市各機關","TaipeiCityAgency","27956","22824","4275","2246","535","12138","3273","357","5132"
"行政機關","AdministrativeAgency","20534","18432","2749","1255","452","11195","2587","194","2102"
"公營事業機構","PublicEnterpriseOrg.","2370","555","250","60","2","109","88","46","1815"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","2080","1136","630","412","1","49","41","3","944"
"公立學校(職員)","PublicSchool(Staff)","2972","2701","646","519","80","785","557","114","271"
"高雄市各機關","KaohsiungCityAgency","12026","11053","1775","771","329","5556","2510","112","973"
"行政機關","AdministrativeAgency","10023","9480","1255","518","289","5268","2088","62","543"
"公營事業機構","PublicEnterpriseOrg.","94","75","13","10","7","32","13","－","19"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","681","389","226","80","3","35","42","3","292"
"公立學校(職員)","PublicSchool(Staff)","1228","1109","281","163","30","221","367","47","119"
"金門縣、連江縣各機關","Kinmen&LienchiangCountyAgency","1410","1272","74","23","6","597","394","178","138"
"行政機關","AdministrativeAgency","1181","1077","52","15","5","549","325","131","104"
"公營事業機構","PublicEnterpriseOrg.","93","76","2","1","1","25","22","25","17"
"衛生醫療機構","Hygiene&MedicalServiceOrg.","29","17","11","3","－","－","3","－","12"
"公立學校(職員)","PublicSchool(Staff)","107","102","9","4","－","23","44","22","5"
